Amount,Day,Month,Year,Transaction Category,Inflation Rate,Year-Month,Credit/Debit,Age,Budget,Dependent Family Size,Most Frequent Expense Categories,Months with Higher Spending,Number of Expenses a Month,Payment Method,Estimated Monthly Expenses,Date,Cumulative Monthly Spending,Last Month Budget,Average Monthly Budget
470.0,2,1,2013,bills,1.4,2013-01,debit,31,115255.0,0,"['transport', 'food']","[1, 3, 12]",90,cash,100000.0,2013-01-02,6420.0,115255.0,158023.74
1640.0,2,1,2013,bills,1.4,2013-01,debit,31,115255.0,0,"['transport', 'food']","[1, 3, 12]",90,cash,100000.0,2013-01-02,6420.0,115255.0,158023.74
1070.0,2,1,2013,others,1.4,2013-01,debit,31,115255.0,0,"['transport', 'food']","[1, 3, 12]",90,cash,100000.0,2013-01-02,6420.0,115255.0,158023.74
725.0,2,1,2013,bills,1.4,2013-01,debit,31,115255.0,0,"['transport', 'food']","[1, 3, 12]",90,cash,100000.0,2013-01-02,6420.0,115255.0,158023.74
480.0,2,1,2013,bills,1.4,2013-01,debit,31,115255.0,0,"['transport', 'food']","[1, 3, 12]",90,cash,100000.0,2013-01-02,6420.0,115255.0,158023.74
2035.0,2,1,2013,bills,1.4,2013-01,debit,31,115255.0,0,"['transport', 'food']","[1, 3, 12]",90,cash,100000.0,2013-01-02,6420.0,115255.0,158023.74
435.0,3,1,2013,others,1.4,2013-01,debit,31,115255.0,0,"['transport', 'food']","[1, 3, 12]",90,cash,100000.0,2013-01-03,39180.0,115255.0,158023.74
1970.0,3,1,2013,bills,1.4,2013-01,debit,31,115255.0,0,"['transport', 'food']","[1, 3, 12]",90,cash,100000.0,2013-01-03,39180.0,115255.0,158023.74
860.0,3,1,2013,others,1.4,2013-01,debit,31,115255.0,0,"['transport', 'food']","[1, 3, 12]",90,cash,100000.0,2013-01-03,39180.0,115255.0,158023.74
410.0,3,1,2013,others,1.4,2013-01,debit,31,115255.0,0,"['transport', 'food']","[1, 3, 12]",90,cash,100000.0,2013-01-03,39180.0,115255.0,158023.74
2425.0,3,1,2013,bills,1.4,2013-01,debit,31,115255.0,0,"['transport', 'food']","[1, 3, 12]",90,cash,100000.0,2013-01-03,39180.0,115255.0,158023.74
2710.0,3,1,2013,bills,1.4,2013-01,debit,31,115255.0,0,"['transport', 'food']","[1, 3, 12]",90,cash,100000.0,2013-01-03,39180.0,115255.0,158023.74
415.0,3,1,2013,shopping,1.4,2013-01,debit,31,115255.0,0,"['transport', 'food']","[1, 3, 12]",90,cash,100000.0,2013-01-03,39180.0,115255.0,158023.74
2495.0,3,1,2013,bills,1.4,2013-01,debit,31,115255.0,0,"['transport', 'food']","[1, 3, 12]",90,cash,100000.0,2013-01-03,39180.0,115255.0,158023.74
575.0,3,1,2013,bills,1.4,2013-01,debit,31,115255.0,0,"['transport', 'food']","[1, 3, 12]",90,cash,100000.0,2013-01-03,39180.0,115255.0,158023.74
2355.0,3,1,2013,bills,1.4,2013-01,debit,31,115255.0,0,"['transport', 'food']","[1, 3, 12]",90,cash,100000.0,2013-01-03,39180.0,115255.0,158023.74
1615.0,3,1,2013,others,1.4,2013-01,debit,31,115255.0,0,"['transport', 'food']","[1, 3, 12]",90,cash,100000.0,2013-01-03,39180.0,115255.0,158023.74
1090.0,3,1,2013,bills,1.4,2013-01,debit,31,115255.0,0,"['transport', 'food']","[1, 3, 12]",90,cash,100000.0,2013-01-03,39180.0,115255.0,158023.74
1925.0,3,1,2013,others,1.4,2013-01,debit,31,115255.0,0,"['transport', 'food']","[1, 3, 12]",90,cash,100000.0,2013-01-03,39180.0,115255.0,158023.74
730.0,3,1,2013,others,1.4,2013-01,debit,31,115255.0,0,"['transport', 'food']","[1, 3, 12]",90,cash,100000.0,2013-01-03,39180.0,115255.0,158023.74
1685.0,3,1,2013,bills,1.4,2013-01,debit,31,115255.0,0,"['transport', 'food']","[1, 3, 12]",90,cash,100000.0,2013-01-03,39180.0,115255.0,158023.74
1955.0,3,1,2013,others,1.4,2013-01,debit,31,115255.0,0,"['transport', 'food']","[1, 3, 12]",90,cash,100000.0,2013-01-03,39180.0,115255.0,158023.74
2655.0,3,1,2013,bills,1.4,2013-01,debit,31,115255.0,0,"['transport', 'food']","[1, 3, 12]",90,cash,100000.0,2013-01-03,39180.0,115255.0,158023.74
