Date,Transaction Category,Amount,Credit/Debit,Payment Method,Inflation Rate,Dependent Family Size,Age,Months with Higher Spending,Number of Expenses a Month,Most Frequent Expense Categories,Estimated Monthly Expenses,Day,Month,Year,Year-Month,Budget,Cumulative Monthly Spending,Last Month Budget,Average Monthly Budget
2013-01-01,food,2220.0,debit,cash,0.7,3,25,"[1, 3, 12]",119,"['transport', 'food']",200000,1,1,2013,2013-01,216250.0,5380.0,216250.0,203210.08
2013-01-01,transport,1370.0,debit,credit_card,0.7,3,25,"[1, 3, 12]",119,"['transport', 'food']",200000,1,1,2013,2013-01,216250.0,5380.0,216250.0,203210.08
2013-01-01,others,1790.0,debit,online_banking,0.7,3,25,"[1, 3, 12]",119,"['transport', 'food']",200000,1,1,2013,2013-01,216250.0,5380.0,216250.0,203210.08
2013-01-02,transport,2860.0,debit,e-wallet,0.7,3,25,"[1, 3, 12]",119,"['transport', 'food']",200000,2,1,2013,2013-01,216250.0,12980.0,216250.0,203210.08
2013-01-02,others,3110.0,debit,cash,0.7,3,25,"[1, 3, 12]",119,"['transport', 'food']",200000,2,1,2013,2013-01,216250.0,12980.0,216250.0,203210.08
2013-01-02,others,1630.0,debit,credit_card,0.7,3,25,"[1, 3, 12]",119,"['transport', 'food']",200000,2,1,2013,2013-01,216250.0,12980.0,216250.0,203210.08
2013-01-03,transport,1410.0,debit,cash,0.7,3,25,"[1, 3, 12]",119,"['transport', 'food']",200000,3,1,2013,2013-01,216250.0,19630.0,216250.0,203210.08
2013-01-03,others,1920.0,debit,e-wallet,0.7,3,25,"[1, 3, 12]",119,"['transport', 'food']",200000,3,1,2013,2013-01,216250.0,19630.0,216250.0,203210.08
2013-01-03,entertainment,1820.0,debit,credit_card,0.7,3,25,"[1, 3, 12]",119,"['transport', 'food']",200000,3,1,2013,2013-01,216250.0,19630.0,216250.0,203210.08
2013-01-03,others,1500.0,debit,e-wallet,0.7,3,25,"[1, 3, 12]",119,"['transport', 'food']",200000,3,1,2013,2013-01,216250.0,19630.0,216250.0,203210.08
2013-01-04,food,2740.0,debit,e-wallet,0.7,3,25,"[1, 3, 12]",119,"['transport', 'food']",200000,4,1,2013,2013-01,216250.0,26960.0,216250.0,203210.08
2013-01-04,food,2490.0,debit,credit_card,0.7,3,25,"[1, 3, 12]",119,"['transport', 'food']",200000,4,1,2013,2013-01,216250.0,26960.0,216250.0,203210.08
2013-01-04,food,2100.0,debit,online_banking,0.7,3,25,"[1, 3, 12]",119,"['transport', 'food']",200000,4,1,2013,2013-01,216250.0,26960.0,216250.0,203210.08
2013-01-05,entertainment,3100.0,debit,e-wallet,0.7,3,25,"[1, 3, 12]",119,"['transport', 'food']",200000,5,1,2013,2013-01,216250.0,32910.0,216250.0,203210.08
