Date,Transaction Category,Amount,Credit/Debit,Payment Method,Inflation Rate,Dependent Family Size,Age,Months with Higher Spending,Number of Expenses a Month,Most Frequent Expense Categories,Estimated Monthly Expenses,Day,Month,Year,Year-Month,Budget,Cumulative Monthly Spending,Last Month Budget,Average Monthly Budget
2013-01-01,others,4200.0,debit,cash,0.7,3,25,"[1, 3, 12]",119,"['transport', 'food']",200000,1,1,2013,2013-01,272610.0,8720.0,272610.0,205843.75
2013-01-01,transport,4520.0,debit,online_banking,0.7,3,25,"[1, 3, 12]",119,"['transport', 'food']",200000,1,1,2013,2013-01,272610.0,8720.0,272610.0,205843.75
2013-01-02,transport,2470.0,debit,e-wallet,0.7,3,25,"[1, 3, 12]",119,"['transport', 'food']",200000,2,1,2013,2013-01,272610.0,17200.0,272610.0,205843.75
2013-01-02,bills,3160.0,debit,online_banking,0.7,3,25,"[1, 3, 12]",119,"['transport', 'food']",200000,2,1,2013,2013-01,272610.0,17200.0,272610.0,205843.75
2013-01-02,food,1520.0,debit,credit_card,0.7,3,25,"[1, 3, 12]",119,"['transport', 'food']",200000,2,1,2013,2013-01,272610.0,17200.0,272610.0,205843.75
2013-01-02,food,1330.0,debit,online_banking,0.7,3,25,"[1, 3, 12]",119,"['transport', 'food']",200000,2,1,2013,2013-01,272610.0,17200.0,272610.0,205843.75
2013-01-03,bills,3060.0,debit,online_banking,0.7,3,25,"[1, 3, 12]",119,"['transport', 'food']",200000,3,1,2013,2013-01,272610.0,26120.0,272610.0,205843.75
2013-01-03,transport,2570.0,debit,cash,0.7,3,25,"[1, 3, 12]",119,"['transport', 'food']",200000,3,1,2013,2013-01,272610.0,26120.0,272610.0,205843.75
2013-01-03,others,3290.0,debit,e-wallet,0.7,3,25,"[1, 3, 12]",119,"['transport', 'food']",200000,3,1,2013,2013-01,272610.0,26120.0,272610.0,205843.75
2013-01-04,entertainment,4270.0,debit,debit_card,0.7,3,25,"[1, 3, 12]",119,"['transport', 'food']",200000,4,1,2013,2013-01,272610.0,36330.0,272610.0,205843.75
2013-01-04,transport,2580.0,debit,e-wallet,0.7,3,25,"[1, 3, 12]",119,"['transport', 'food']",200000,4,1,2013,2013-01,272610.0,36330.0,272610.0,205843.75
2013-01-04,transport,3360.0,debit,e-wallet,0.7,3,25,"[1, 3, 12]",119,"['transport', 'food']",200000,4,1,2013,2013-01,272610.0,36330.0,272610.0,205843.75
