Amount,Day,Month,Year,Transaction Category,Inflation Rate,Year-Month,Credit/Debit,Age,Budget,Dependent Family Size,Most Frequent Expense Categories,Months with Higher Spending,Number of Expenses a Month,Payment Method,Estimated Monthly Expenses,Date,Cumulative Monthly Spending,Last Month Budget,Average Monthly Budget
3450.0,2,1,2013,entertainment,1.4,2013-01,debit,31,108040.0,0,"['transport', 'food']","[1, 3, 12]",90,debit_card,100000.0,2013-01-02,7970.0,108040.0,158562.73
835.0,2,1,2013,bills,1.4,2013-01,debit,31,108040.0,0,"['transport', 'food']","[1, 3, 12]",90,debit_card,100000.0,2013-01-02,7970.0,108040.0,158562.73
805.0,2,1,2013,bills,1.4,2013-01,debit,31,108040.0,0,"['transport', 'food']","[1, 3, 12]",90,debit_card,100000.0,2013-01-02,7970.0,108040.0,158562.73
1425.0,2,1,2013,bills,1.4,2013-01,debit,31,108040.0,0,"['transport', 'food']","[1, 3, 12]",90,debit_card,100000.0,2013-01-02,7970.0,108040.0,158562.73
1060.0,2,1,2013,bills,1.4,2013-01,debit,31,108040.0,0,"['transport', 'food']","[1, 3, 12]",90,debit_card,100000.0,2013-01-02,7970.0,108040.0,158562.73
395.0,2,1,2013,bills,1.4,2013-01,debit,31,108040.0,0,"['transport', 'food']","[1, 3, 12]",90,debit_card,100000.0,2013-01-02,7970.0,108040.0,158562.73
1345.0,3,1,2013,bills,1.4,2013-01,debit,31,108040.0,0,"['transport', 'food']","[1, 3, 12]",90,debit_card,100000.0,2013-01-03,37760.0,108040.0,158562.73
1730.0,3,1,2013,others,1.4,2013-01,debit,31,108040.0,0,"['transport', 'food']","[1, 3, 12]",90,debit_card,100000.0,2013-01-03,37760.0,108040.0,158562.73
555.0,3,1,2013,others,1.4,2013-01,debit,31,108040.0,0,"['transport', 'food']","[1, 3, 12]",90,debit_card,100000.0,2013-01-03,37760.0,108040.0,158562.73
1230.0,3,1,2013,bills,1.4,2013-01,debit,31,108040.0,0,"['transport', 'food']","[1, 3, 12]",90,debit_card,100000.0,2013-01-03,37760.0,108040.0,158562.73
1840.0,3,1,2013,bills,1.4,2013-01,debit,31,108040.0,0,"['transport', 'food']","[1, 3, 12]",90,debit_card,100000.0,2013-01-03,37760.0,108040.0,158562.73
1480.0,3,1,2013,bills,1.4,2013-01,debit,31,108040.0,0,"['transport', 'food']","[1, 3, 12]",90,debit_card,100000.0,2013-01-03,37760.0,108040.0,158562.73
1230.0,3,1,2013,bills,1.4,2013-01,debit,31,108040.0,0,"['transport', 'food']","[1, 3, 12]",90,debit_card,100000.0,2013-01-03,37760.0,108040.0,158562.73
625.0,3,1,2013,others,1.4,2013-01,debit,31,108040.0,0,"['transport', 'food']","[1, 3, 12]",90,debit_card,100000.0,2013-01-03,37760.0,108040.0,158562.73
550.0,3,1,2013,others,1.4,2013-01,debit,31,108040.0,0,"['transport', 'food']","[1, 3, 12]",90,debit_card,100000.0,2013-01-03,37760.0,108040.0,158562.73
1455.0,3,1,2013,bills,1.4,2013-01,debit,31,108040.0,0,"['transport', 'food']","[1, 3, 12]",90,debit_card,100000.0,2013-01-03,37760.0,108040.0,158562.73
1370.0,3,1,2013,bills,1.4,2013-01,debit,31,108040.0,0,"['transport', 'food']","[1, 3, 12]",90,debit_card,100000.0,2013-01-03,37760.0,108040.0,158562.73
1655.0,3,1,2013,bills,1.4,2013-01,debit,31,108040.0,0,"['transport', 'food']","[1, 3, 12]",90,debit_card,100000.0,2013-01-03,37760.0,108040.0,158562.73
1010.0,3,1,2013,others,1.4,2013-01,debit,31,108040.0,0,"['transport', 'food']","[1, 3, 12]",90,debit_card,100000.0,2013-01-03,37760.0,108040.0,158562.73
1460.0,3,1,2013,bills,1.4,2013-01,debit,31,108040.0,0,"['transport', 'food']","[1, 3, 12]",90,debit_card,100000.0,2013-01-03,37760.0,108040.0,158562.73
1365.0,3,1,2013,others,1.4,2013-01,debit,31,108040.0,0,"['transport', 'food']","[1, 3, 12]",90,debit_card,100000.0,2013-01-03,37760.0,108040.0,158562.73
685.0,3,1,2013,bills,1.4,2013-01,debit,31,108040.0,0,"['transport', 'food']","[1, 3, 12]",90,debit_card,100000.0,2013-01-03,37760.0,108040.0,158562.73
1935.0,3,1,2013,bills,1.4,2013-01,debit,31,108040.0,0,"['transport', 'food']","[1, 3, 12]",90,debit_card,100000.0,2013-01-03,37760.0,108040.0,158562.73
2495.0,3,1,2013,others,1.4,2013-01,debit,31,108040.0,0,"['transport', 'food']","[1, 3, 12]",90,debit_card,100000.0,2013-01-03,37760.0,108040.0,158562.73
1060.0,3,1,2013,bills,1.4,2013-01,debit,31,108040.0,0,"['transport', 'food']","[1, 3, 12]",90,debit_card,100000.0,2013-01-03,37760.0,108040.0,158562.73
1245.0,3,1,2013,bills,1.4,2013-01,debit,31,108040.0,0,"['transport', 'food']","[1, 3, 12]",90,debit_card,100000.0,2013-01-03,37760.0,108040.0,158562.73
485.0,3,1,2013,bills,1.4,2013-01,debit,31,108040.0,0,"['transport', 'food']","[1, 3, 12]",90,debit_card,100000.0,2013-01-03,37760.0,108040.0,158562.73
375.0,3,1,2013,others,1.4,2013-01,debit,31,108040.0,0,"['transport', 'food']","[1, 3, 12]",90,debit_card,100000.0,2013-01-03,37760.0,108040.0,158562.73
1670.0,3,1,2013,others,1.4,2013-01,debit,31,108040.0,0,"['transport', 'food']","[1, 3, 12]",90,debit_card,100000.0,2013-01-03,37760.0,108040.0,158562.73
940.0,3,1,2013,bills,1.4,2013-01,debit,31,108040.0,0,"['transport', 'food']","[1, 3, 12]",90,debit_card,100000.0,2013-01-03,37760.0,108040.0,158562.73
2530.0,4,1,2013,others,1.4,2013-01,debit,31,108040.0,0,"['transport', 'food']","[1, 3, 12]",90,debit_card,100000.0,2013-01-04,65535.0,108040.0,158562.73
615.0,4,1,2013,bills,1.4,2013-01,debit,31,108040.0,0,"['transport', 'food']","[1, 3, 12]",90,debit_card,100000.0,2013-01-04,65535.0,108040.0,158562.73
